State,Capital city,Second city,Third city,Statehood,Capital since,Capital rank
Alabama,Montgomery,Anniston,Athens,1819,1846,3
Alaska,Juneau,Cordova,Haines,1959,1906,3
Arizona,Phoenix,Ajo,Globe,1912,1889,1
Arkansas,Little Rock,El Dorado,Camden,1836,1821,1
California,Sacramento,Arcadia,Brea,1850,1854,6
Colorado,Denver,Aspen,Climax,1876,1867,1
Connecticut,Hartford,Berlin,Derby,1788,1875,3
Delaware,Dover,Milford,Smyrna,1787,1777,2
Florida,Tallahassee,Bartow,Jacksonville,1845,1824,7
Georgia,Atlanta,Macon,Warner Robins,1788,1868,1
Hawaii,Honolulu,Hilo,Laie,1959,1845,1
Idaho,Boise,Blackfoot,Moscow,1890,1865,1
Illinois,Springfield,Alton,Cairo,1818,1837,6
Indiana,Indianapolis,Bedford,Elwood,1816,1825,1
Iowa,Des Moines,Ames,Clinton,1846,1857,1
Kansas,Topeka,Hays,Emporia,1861,1856,4
Kentucky,Frankfort,Harlan,Lexington,1792,1792,15
Louisiana,Baton Rouge,Gretna,Hounma,1812,1880,2
Maine,Augusta,Auburn,Bath,1820,1832,8
Maryland,Annapolis,Bowie,Laurel,1788,1694,7
Massachusetts,Boston,Adams,Athol,1788,1630,1
Michigan,Lansing,Alma,Cadillac,1837,1847,5
Minnesota,Saint Paul,Ely,Duluth,1858,1849,2
Mississippi,Jackson,Biloxi,Corinth,1817,1821,1
Missouri,Jefferson City,Hannibal,Lamar,1821,1826,15
Montana,Helena,Dillon,Harve,1889,1875,6
Nebraska,Lincoln,McCook,Minden,1867,1867,2
Nevada,Carson City,Las Vegas,Reno,1864,1861,6
New Hampshire,Concord,Dover,Lebanon,1788,1808,3
New Jersey,Trenton,East Orange,Edison,1787,1784,10
New Mexico,Santa Fe,Acoma,Belen,1912,1610,4
New York,Albany,Beacon,New York City,1788,1797,6
North Carolina,Raleigh,Bath,Charlotte,1789,1792,2
North Dakota,Bismarck,Fargo,Rugby,1889,1883,2
Ohio,Columbus,Akron,Canton,1803,1816,1
Oklahoma,Oklahoma City,Ada,Hugo,1907,1910,1
Oregon,Salem,Bend,Hillsboro,1859,1855,3
Pennsylvania,Harrisburg,Carlisle,Bristol,1787,1812,9
Rhode Island,Providence,Bristol,Kingston,1790,1900,1
South Carolina,Columbia,Sumter,Union,1788,1786,2
South Dakota,Pierre,Custer,De Smet,1889,1889,8
Tennessee,Nashville,Alcoa,Oak Ridge,1796,1826,1
Texas,Austin,Del Rio,Irving,1845,1839,4
Utah,Salt Lake City,Tooele,Vernal,1896,1858,1
Vermont,Montpelier,Barre,Essex,1791,1805,6
Virginia,Richmond,Reston,Suffolk,1788,1780,4
Washington,Olympia,Auburn,Bellingham,1889,1853,24
West Virginia,Charleston,Beckley,Bath,1863,1885,1
Wisconsin,Madison,West Allis,Wausau,1848,1838,2
Wyoming,Cheyenne,Cody,Buffalo,1890,1869,1
